id,FEMALE,studyethraw,ETHN_CMP,do1,do2,do3,do4,do5,do6,do7,psolv1,psolv2,psolv3,psolv4,psolv5,psolv6,psolv7,psolv8,SOC_STRS,BOTHR_U,negmood1,posmood1
22501,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22502,1,2,2,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,1,4
22504,0,2,2,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,2,1.4,2.6
22505,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22506,0,NA,5,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,2,1.8,2.4
22508,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22509,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
22510,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2.4,2.4
22511,1,2,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,3,1.6,3.8
22512,1,2,2,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,4,1,2.4
22513,0,6,5,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,2,1,4
22516,1,7,5,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,3,2.8,1.8
22540,0,2,2,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,3
22541,0,2,2,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,4
22544,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.2
22602,1,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1.8,3.2
22606,1,2,2,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,3,2.4
22608,1,3,3,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,3,1.4,3.6
22610,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,2.6
22613,1,3,3,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,4,1.4,3.2
22614,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22615,1,3,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,3,1.8,2.8
22616,1,3,3,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,4,2.4,3
22642,0,2,2,1,0,1,NA,1,0,0,1,1,1,1,1,1,1,0,1,NA,1.8,3.6
22700,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22704,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22705,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.8,1.4
22707,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1.6,3.6
22708,1,7,5,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,2,2.4,3
22709,1,3,3,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,4,3.2,1.6
22710,1,7,5,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,4,3.4,2.4
22711,1,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,3,2.2
22715,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22718,0,3,3,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,2,1,3.6
22719,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2.6,2.8
22740,0,7,5,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,2,1.8,3.2
22742,0,2,2,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,4,2,3.8
22800,0,3,3,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,2,1.6,3
22801,1,5,2,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,4,2.2,2.6
22803,0,2,2,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,3,2.4,3
22804,1,7,5,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,2,2,3.4
22806,1,7,5,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,4,3.2,1.6
22808,0,8,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,3
22812,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2.4,2.6
22814,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
22815,1,2,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,2,1.4,3.4
22816,1,4,4,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,3,2.4,2.4
22820,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2.4
22821,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23001,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,2.2,3.6
23003,1,2,2,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,3,2,2.4
